"cod_curso","cod_disc","periodo"
26,1725,2
26,1729,3
26,1731,4
26,1090,5
52,1738,4
52,1792,5
52,1797,6
35,782,3
35,985,2
35,988,4
26,597,1
26,707,2
26,1135,9
4,1043,8
4,284,9
52,1724,2
52,1788,3
52,1444,3
52,1731,4
13,59,1
13,60,1
13,288,3
13,348,3
13,281,6
13,282,7
13,303,7
13,299,7
13,307,7
35,1009,8
35,1012,10
4,59,1
4,289,4
4,276,5
4,297,5
4,301,5
4,302,6
123,1111,1
123,3846,1
13,3816,2
13,3824,6
13,3838,7
13,3835,7
13,3834,9
13,3843,10
35,1050,1
44,977,2
44,861,3
44,2769,3
44,2779,5
35,3681,3
35,3688,4
35,3699,6
35,2830,7
35,3703,8
4,3728,1
44,2795,7
4,3819,4
95,712,1
95,2398,1
95,3323,2
95,3362,3
95,2411,5
44,2796,7
35,2809,3
35,2810,3
123,3854,3
123,3856,3
123,3861,4
123,2191,5
125,3418,2
4,3998,1
26,4140,4
123,3388,5
125,1227,1
103,1227,1
103,2398,1
103,3418,2
103,3363,3
103,3401,4
103,3404,5
35,4609,4
35,4610,5
35,4622,7
103,5135,1
103,5479,2
52,5519,2
52,5139,2
13,5492,2
4,5492,2
4,5494,2
123,5513,2
35,5362,2
44,813,3
44,4463,4
44,6193,4
44,6108,5
103,6215,3
103,6360,5
26,6336,4
26,6352,8
26,6355,9
44,6127,9
44,6464,8
123,5155,1
131,5115,1
131,5116,1
131,5117,1
131,5118,1
131,4246,2
131,6279,3
131,6295,7
131,6395,8
35,5764,3
123,6087,3
123,6088,3
123,6095,5
35,4988,4
52,5480,3
52,6226,7
52,6229,8
35,5163,4
35,5987,4
35,6001,7
4,4781,3
4,4457,3
4,6234,3
4,6242,5
4,6245,5
4,6362,8
4,6261,9
4,6266,10
4,6272,10
13,6242,5
13,6247,6
13,6255,7
13,6266,10
26,712,1
26,1727,3
26,1155,5
26,1737,5
26,1742,7
26,1746,8
35,95,1
35,976,1
52,1800,7
35,861,3
35,991,4
35,992,4
35,995,4
26,701,1
26,706,1
26,1112,1
26,1129,2
26,164,3
26,727,6
26,1160,7
26,1151,9
4,354,10
52,1663,1
52,701,1
13,289,4
13,280,5
13,287,5
13,333,5
13,351,6
13,334,6
13,284,9
13,277,8
13,329,8
13,327,9
13,298,10
35,999,6
4,304,2
4,279,4
4,352,7
35,1039,1
35,2651,3
4,316,2
4,329,8
4,341,7
4,3838,7
13,3826,6
13,3841,9
4,3833,10
44,2745,1
44,2765,2
44,2770,3
44,2771,4
44,782,4
44,2747,1
35,3690,4
44,3731,1
44,3733,3
44,3767,7
35,3678,1
4,3835,7
4,3786,8
95,3403,5
95,3407,5
95,3418,2
44,854,2
44,2788,6
35,2816,4
35,2818,4
35,2828,7
123,3859,4
125,3322,2
125,3364,2
125,3366,4
125,1738,5
123,2398,1
35,3730,1
35,3452,3
4,1227,1
103,3322,2
103,3400,3
35,4602,3
35,4605,3
35,4611,5
35,4618,8
35,4623,7
4,5128,1
103,4246,2
103,5480,2
44,5471,2
13,5493,2
13,5494,2
123,5516,2
35,4703,2
35,5497,2
44,4457,3
44,6192,3
44,6105,4
44,5505,4
44,6113,6
103,6359,4
103,6210,3
103,6222,4
103,6382,5
103,4780,5
26,6340,5
26,6342,6
26,4463,4
26,6350,8
26,6351,8
44,6126,8
44,6135,8
44,6138,8
52,5135,1
123,5152,1
123,5156,1
123,4166,1
44,5163,1
131,5451,2
131,5453,2
131,6275,3
131,6293,6
131,6299,8
131,6300,8
35,5976,3
35,5973,3
123,6094,5
123,6100,3
52,6210,3
52,6212,4
52,4463,4
52,6215,4
52,6219,5
52,6228,7
35,5991,5
35,5997,6
35,5998,6
35,4780,4
4,4463,4
4,6238,4
4,6239,4
4,6240,4
4,6252,7
4,6258,8
4,6259,9
4,4780,7
13,4781,3
13,6257,8
13,6263,10
13,6264,10
26,1662,1
26,699,3
26,720,4
26,1736,5
26,1095,6
26,1091,6
26,1248,6
26,1106,8
35,53,1
35,858,2
52,1095,5
35,981,2
26,583,1
4,356,8
4,285,10
4,330,2
52,702,2
52,1787,2
52,1385,2
52,1727,3
13,278,3
13,276,5
13,300,4
13,332,9
13,354,10
13,29,1
35,1000,6
35,1014,6
35,1008,6
4,1215,1
4,347,2
4,296,4
4,338,3
